Période,Produit,Sous-Type de Produit/Catégorie/Article,Mode de Transport,Origine,Destination,Port,Activité,Unité,Valeurs
1990Q3,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$/MW.h,24.84551486
1990Q3,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,MW.h,48933
1990Q3,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$,1116318.81
1990Q3,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$/MW.h,22.8132101
1990Q3,Electricity,N/A,N/A,Québec,New York,N/A,Exports,MW.h,1553970
1990Q3,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$,48897847.41
1990Q3,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$/MW.h,28.73845327
1990Q3,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,MW.h,412264
1990Q3,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$,16061696.1
1990Q3,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$/MW.h,35.48257585
1990Q3,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,MW.h,40486
1990Q3,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$,481255.42
1990Q3,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$/MW.h,11.88695895
1990Q4,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,MW.h,29710.6
1990Q4,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$,565136.23
1990Q4,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$/MW.h,19.02136712
1990Q4,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,MW.h,1105133.2
1990Q4,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$,52123018.45
1990Q4,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$/MW.h,47.1644671
1990Q4,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,MW.h,233540
1990Q4,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$,2730953.02
1990Q4,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$/MW.h,11.69372707
1990Q4,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,MW.h,37846
1990Q4,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$,1146841.24
1990Q4,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$/MW.h,30.30283887
1990Q4,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,MW.h,35
1990Q4,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$,2106.54
1990Q4,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$/MW.h,60.18685714
1990Q4,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,MW.h,32942
